Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
80500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
80500002,has job,has job,has job,has job,has job,has job,has job,has job,has job
80500003,no job,no job,no job,no job,no job,no job,has job,has job,has job
80600001,no job,no job,no job,no job,no job,no job,no job,has job,no job
80631001,no job,no job,no job,no job,has job,has job,has job,has job,has job
80631002,no job,has job,no job,no job,no job,no job,no job,no job,no job
80700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
80700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
80700007,no job,no job,no job,no job,has job,has job,has job,has job,no job
80700041,no job,no job,has job,has job,has job,has job,has job,has job,has job
80700042,no job,no job,no job,no job,no job,no job,no job,no job,has job
80700052,no job,no job,no job,no job,has job,no job,no job,no job,no job
80700051,has job,has job,has job,has job,has job,has job,has job,has job,has job
80800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
80800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
80800005,has job,has job,has job,has job,has job,has job,has job,has job,has job
80800006,no job,no job,no job,no job,no job,no job,no job,no job,has job
