Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
180531004,no job,,no job,no job,no job,no job,no job,no job,no job
180600001,,,no job,,,,,,
180600004,no job,no job,no job,,,,,,
180600006,no job,no job,no job,no job,no job,no job,,,
180631002,no job,no job,no job,no job,,no job,no job,no job,
180700005,no job,no job,no job,no job,,,,,
180931002,,no job,no job,no job,no job,no job,,no job,no job
180931003,no job,no job,no job,no job,no job,no job,,,
180931004,no job,no job,no job,no job,no job,no job,no job,no job,no job
181100002,no job,no job,,,,,,,no job
181400032,no job,no job,,,,no job,no job,no job,no job
181400042,no job,,,,,,,,
181400041,no job,no job,no job,,,,,,
181500004,no job,no job,no job,no job,no job,no job,no job,no job,
181500031,no job,,,,,,,,
181600005,no job,no job,no job,no job,no job,,,no job,no job
181631001,no job,,,,,,,,
181631002,no job,,,,,,,,
181700003,no job,no job,,,,,,,
181700004,no job,no job,no job,no job,no job,no job,,,
181700006,no job,no job,no job,no job,no job,no job,,,
181900002,no job,,,,no job,no job,no job,no job,
190800006,no job,no job,no job,no job,no job,no job,,,
1908000010,no job,no job,no job,no job,no job,no job,no job,no job,
190800011,,,,,,,no job,no job,no job
191000006,no job,,no job,no job,no job,no job,no job,no job,no job
191800031,no job,no job,no job,no job,no job,no job,no job,no job,no job
200300001,no job,no job,no job,no job,no job,no job,no job,no job,
200400003,no job,,,,,,no job,no job,no job
200600006,no job,no job,no job,no job,,,,,
201000001,,,no job,no job,no job,no job,no job,no job,no job
201000002,no job,no job,no job,no job,,,,,
201031002,,,,,,,no job,no job,
201400001,no job,no job,,,,,,,
201900002,,no job,no job,no job,no job,no job,no job,no job,no job
201900005,,,,,no job,no job,no job,no job,no job
202000005,no job,no job,no job,no job,,,,,
210100001,no job,no job,no job,,,,,,
210500042,no job,no job,,,,no job,no job,,
210700001,no job,no job,no job,no job,no job,,,,
210700004,no job,no job,no job,no job,no job,no job,,,
2109000010,no job,no job,no job,no job,no job,no job,,,
211300005,no job,no job,no job,no job,no job,no job,no job,no job,
211300062,no job,no job,,,,,,,no job
211300061,no job,no job,,no job,,,,,
211700008,no job,no job,no job,no job,no job,no job,no job,,
211700072,,,,,,,,no job,
211732002,no job,no job,no job,no job,no job,no job,no job,no job,
211732001,no job,no job,no job,no job,no job,no job,no job,,
211800001,no job,no job,,,,,,,
211900002,no job,no job,,,,,,,
211900003,no job,no job,no job,no job,no job,no job,,,
220200004,,,,,,,,,6
220200007,,,,,,,,,6
220500001,,,,,,,,,6
220500002,,,,,,no job,no job,no job,no job
220500004,no job,no job,,,,,,,6
220500031,no job,no job,no job,,,,,,
220500052,no job,no job,no job,no job,no job,no job,no job,no job,
220500051,no job,,,,,,,,
220531002,no job,no job,no job,no job,no job,no job,no job,,
220600001,,,,,,,no job,no job,no job
220700061,no job,no job,no job,no job,no job,no job,,,6
220800032,no job,no job,no job,no job,no job,,,,
220800042,no job,no job,no job,no job,no job,no job,no job,,
220900002,no job,,,,,,,,
221000005,no job,no job,no job,no job,no job,no job,no job,,
221100005,no job,no job,no job,,,,,,6
221100007,no job,no job,no job,no job,no job,no job,no job,no job,6
221100008,,,,,,,,,6
2211000010,,,,,,,,,6
221100042,,,,,,,,,6
221100041,,,,,,,,,6
221200005,no job,no job,no job,no job,no job,no job,no job,no job,
221400001,,no job,no job,no job,no job,no job,no job,no job,6
221600003,,,,,no job,no job,,no job,no job
221800001,,,,,,,,,6
221800003,,,,,,,,,6
221800007,,,,,,,,,6
221800008,,,,,,,,,6
221800051,,,,,,,,,6
221800052,,,,,,,,,6
221831007,,,,,,no job,,,
