Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
613000004,,has job,,has job,has job,,has job,has job,
613000051,,,,,,,,has job,has job
620200041,has job,has job,has job,has job,has job,has job,has job,has job,has job
620800052,has job,has job,has job,has job,has job,has job,has job,has job,has job
621200032,has job,has job,has job,,,,has job,,
621232001,has job,has job,has job,has job,has job,has job,has job,has job,has job
622031001,has job,has job,has job,has job,has job,has job,has job,has job,has job
622300021,,,has job,has job,has job,has job,has job,has job,has job
622300022,has job,,,,,,,,
622300023,,,,,,,,,has job
623000003,,has job,has job,has job,has job,has job,has job,has job,has job
630831002,,,,,has job,has job,has job,has job,has job
630931002,has job,has job,has job,has job,has job,has job,has job,has job,has job
631500032,,,,,,has job,,,
632100003,,,,,,,has job,has job,has job
632131002,has job,has job,has job,has job,has job,has job,has job,has job,has job
632200041,,,,has job,has job,has job,has job,has job,has job
632600007,has job,has job,has job,has job,has job,has job,has job,has job,has job
632831002,,has job,has job,has job,has job,has job,has job,has job,
632900041,has job,has job,has job,has job,has job,has job,has job,has job,has job
640100051,has job,has job,has job,has job,has job,has job,has job,has job,has job
640300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
640400005,has job,has job,has job,has job,has job,has job,has job,has job,has job
640400031,has job,has job,has job,has job,has job,has job,has job,has job,has job
6406000010,,,,,,,,,has job
640800007,,,,,,has job,has job,has job,has job
641200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
641900032,,has job,has job,,,,,,
642600051,,,,,,has job,has job,has job,has job
650500004,,,,,,,has job,has job,
650531001,has job,has job,,,has job,has job,has job,has job,has job
650532001,has job,has job,has job,has job,has job,has job,has job,has job,
650731001,has job,has job,has job,has job,has job,has job,has job,has job,has job
650911005,,,has job,has job,has job,has job,,has job,
651300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
