2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,hhid_pid
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,71800044
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,71800071
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,71841001
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,71841002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72000003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,72241001
,NA,NA,NA,NA,NA,NA,NA,98,98,98,98,12,12,12,72300004
,NA,NA,NA,NA,14,14,14,14,14,14,14,14,12,12,723000010
,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,12,12,12,72300062
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,72500091
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,72541005
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,12,72600041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,63,63,64,72641001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,72800051
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,72800052
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,80100052
,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,14,14,80142001
30 - 1 - 34 - 62,34,34,34,34,34,34,34,34,34,14,14,14,14,14,80142002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,12,12,80241002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,12,80300004
160 - 9 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,80400031
260 - 12 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,80400032
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,80431003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,80441001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,80441002
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,80500052
